"","lon","lat","h"
"2503",295.586091954023,-36.8283333333333,219
"2504",295.602873563218,-36.8283333333333,208
"2505",295.619655172414,-36.8283333333333,204
"2506",295.636436781609,-36.8283333333333,204
"2507",295.653218390805,-36.8283333333333,200
"2508",295.67,-36.8283333333333,194
"2509",295.686781609195,-36.8283333333333,177
"2510",295.703563218391,-36.8283333333333,166
"2511",295.720344827586,-36.8283333333333,169
"2512",295.737126436782,-36.8283333333333,153
"2513",295.753908045977,-36.8283333333333,145
"2514",295.770689655172,-36.8283333333333,159
"2515",295.787471264368,-36.8283333333333,170
"2516",295.804252873563,-36.8283333333333,167
"2517",295.821034482759,-36.8283333333333,163
"2518",295.837816091954,-36.8283333333333,161
"2519",295.854597701149,-36.8283333333333,156
"2520",295.871379310345,-36.8283333333333,152
"2521",295.88816091954,-36.8283333333333,148
"2522",295.904942528736,-36.8283333333333,147
"2523",295.921724137931,-36.8283333333333,144
"2524",295.938505747126,-36.8283333333333,141
"2525",295.955287356322,-36.8283333333333,138
"2526",295.972068965517,-36.8283333333333,136
